BA Code,BA Name,Directly Interconnected BA Code,Directly Interconnected BA Name,Country of Foreign Directly Interconnected BA,Active Connection,Activation Date,Retirement Date
WALC,Western Area Power Administration - Desert Southwest Region,LDWP,Los Angeles Department of Water and Power,,Yes,,
WALC,Western Area Power Administration - Desert Southwest Region,NEVP,Nevada Power Company,,Yes,,
WALC,Western Area Power Administration - Desert Southwest Region,SRP,Salt River Project Agricultural Improvement and Power District,,Yes,,
WALC,Western Area Power Administration - Desert Southwest Region,TEPC,Tucson Electric Power,,Yes,,
WALC,Western Area Power Administration - Desert Southwest Region,WACM,Western Area Power Administration - Rocky Mountain Region,,Yes,,
WAUE,Western Area Power Administration - Upper Great Plains East,AECI,"Associated Electric Cooperative, Inc.",,No,,10/1/2015
WAUE,Western Area Power Administration - Upper Great Plains East,MISO,"Midcontinent Independent System Operator, Inc.",,No,,10/1/2015
WAUE,Western Area Power Administration - Upper Great Plains East,SWPP,Southwest Power Pool,,No,,10/1/2015
WAUE,Western Area Power Administration - Upper Great Plains East,WACM,Western Area Power Administration - Rocky Mountain Region,,No,,10/1/2015
WAUE,Western Area Power Administration - Upper Great Plains East,WAUW,Western Area Power Administration - Upper Great Plains West,,No,,10/1/2015
WAUW,Western Area Power Administration - Upper Great Plains West,NWMT,NorthWestern Corporation,,Yes,,
WAUW,Western Area Power Administration - Upper Great Plains West,SWPP,Southwest Power Pool,,Yes,,
WAUW,Western Area Power Administration - Upper Great Plains West,WACM,Western Area Power Administration - Rocky Mountain Region,,Yes,,
WAUW,Western Area Power Administration - Upper Great Plains West,WAUE,Western Area Power Administration - Upper Great Plains East,,No,,10/1/2015
WWA,"NaturEner Wind Watch, LLC",NWMT,NorthWestern Corporation,,Yes,,
YAD,"Alcoa Power Generating, Inc. - Yadkin Division",CPLE,Duke Energy Progress East,,Yes,,
YAD,"Alcoa Power Generating, Inc. - Yadkin Division",DUK,Duke Energy Carolinas,,Yes,,
